,year,measure,n_pairs,mean_test_volatility,mean_control_volatility,median_difference,wilcoxon_stat,p_value
0,2014,mad,294,0.011653632567985744,0.011068709722598885,0.000351774503,18788.0,0.04725825895729812
1,2015,mad,299,0.015624203478181149,0.01183934153143043,0.002556779922,7142.0,1.7127506539753945e-24
2,2016,mad,301,0.014081418828417295,0.011853788350380506,0.001488720998,12326.0,5.92940443515285e-12
3,2017,mad,307,0.014608937150207451,0.012092135083521948,0.000847888307,15461.0,1.4902108542897095e-07
4,2018,mad,374,0.0199715075783351,0.016912373827247563,0.0017423798185,23332.0,2.0587515871185896e-08
5,2019,mad,309,0.018833807179746417,0.013823492335167834,0.00247881521,11141.0,3.7116238495579496e-16
6,2020,mad,305,0.01979244108245861,0.014994095897294137,0.00326077298,7691.0,3.40471730504326e-24
7,2021,mad,298,0.017602137358951102,0.01305064054545092,0.002045771085,8897.0,2.556331850080852e-19
8,2022,mad,296,0.03629052014133865,0.021432214744123688,0.014302960355,1791.0,1.057823849322923e-42
9,2023,mad,300,0.03070310413794748,0.01722347488637526,0.0092684857485,2305.0,2.0611309292966474e-41
10,2024,mad,241,0.030864493874647972,0.01577659542897251,0.012561478066,2582.0,1.6592397764864662e-28
11,2025,mad,236,0.019932705088663055,0.014304874102534294,0.001805273339,6962.0,2.2749198301626772e-11
12,2026,mad,231,0.012006680624056241,0.010807105393100565,0.000602685939,9643.0,0.0002216549458027381
